cps,toi,tic,ra,dec,Vmag,Rs,smass,Rp,ruwe,evol,period
T001486,1486.01,233541860,281.1982,62.6854,11.402999999999999,0.71,0.63,1.21,1.05,MS,0.26665
T001504,1504.01,326114850,331.5696,52.7019,10.581,1.5,1.19,3.69,1.01,MS,1.24564
T001520,1520.01,269238073,350.2325,62.1611,10.154,1.5,1.17,3.89,0.8,MS,6.15501
T001533,1533.01,345143460,355.2466,57.4854,10.953,0.88,0.84,2.81,1.03,MS,3.6462
T001537,1537.01,173612049,348.5816,44.5089,10.925,0.96,1.11,3.2,1.03,MS,6.49052
T001538,1538.01,177244357,356.9958,47.6557,10.352,1.12,1.12,5.63,0.9,MS,6.54692
1300,1548.01,440100539,4.3580000000000005,42.2823,9.267000000000001,1.21,1.06,3.34,0.97,MS,12.6017
T001609,1609.01,229951289,288.6754,60.67100000000001,10.775,0.98,1.11,2.68,1.07,MS,13.3118
T001610,1610.01,219776325,263.5434,61.1213,10.99,1.19,1.03,2.38,1.07,MS,2.52894
207897,1611.01,264678534,325.1866,84.3335,8.37,0.78,0.85,2.72,0.98,MS,16.190579999999994
234571,1643.01,298647682,272.2646,53.2176,9.533,0.78,0.77,2.52,1.07,MS,20.078452
T001648,1648.01,376353509,45.401,69.2299,10.43,0.84,0.78,2.49,0.91,MS,7.33149
T001655,1655.01,266500992,61.1722,52.2571,11.125,1.15,0.94,3.68,1.08,MS,3.27767
T001659,1659.01,288631580,277.925,82.3057,10.078,1.01,1.1,2.0,0.89,MS,5.87731
238876,1664.01,353782445,276.938,55.7557,9.652999999999999,1.34,1.17,2.52,1.04,MS,11.834577
T001669,1669.01,428679607,45.9529,83.5876,10.218,1.07,0.98,2.25,0.91,MS,2.679485
T001681,1681.01,321041369,81.6714,56.9636,10.97,0.93,1.01,3.26,0.91,MS,1.537559
T001686,1686.01,102672709,61.731,66.1196,10.411,1.46,1.16,3.72,1.09,MS,6.702137
T001687,1687.01,103448870,66.8347,73.0239,10.507,0.98,1.02,4.39,1.07,MS,10.257449
T001691,1691.01,268334473,272.4061,86.8596,10.134,1.0,1.03,3.75,1.23,MS,16.731638
T001694,1694.01,396740648,97.7482,66.3607,11.446,0.82,0.84,5.48,1.12,MS,3.77013
T001699,1699.01,22705558,125.1888,46.2037,11.402000000000001,1.04,1.0,3.47,1.22,MS,4.54856
T001708,1708.01,241173474,116.1073,43.0092,10.715,1.24,1.22,9.64,0.97,MS,11.44192
T001710,1710.01,445805961,94.2828,76.2108,9.545,0.98,1.01,5.41,1.01,MS,24.28313
T001711,1711.01,461662295,124.4469,51.0106,10.675999999999998,0.97,0.92,7.45,1.08,MS,10.2558
237566,1716.01,14336130,105.0829,56.8244,9.406,1.24,1.06,2.74,1.01,MS,8.088417
T001722,1722.01,85242435,114.3453,61.1542,10.025,1.09,1.16,4.43,0.97,MS,9.606666
