star_id,id,observation_id,ra,dec,instrument,counts,iodine_in,bjd
12572,1446192,cxq.282,2.0602583,21.280611,apf,213000000,t,2459650.63033458
12572,1442955,cxn.383,2.0602583,21.280611,apf,271000000,t,2459647.6372077
12572,1442954,cxn.382,2.0602583,21.280611,apf,270000000,t,2459647.6257497
12572,1436751,cxh.583,2.0602583,21.280611,apf,117000000,t,2459641.64870395
12572,1436750,cxh.582,2.0602583,21.280611,apf,65100000,t,2459641.62545295
12572,1436392,cww.684,2.0602583,21.280611,apf,217000000,t,2459630.66422141
12572,1436391,cww.683,2.0602583,21.280611,apf,200000000,t,2459630.64266041
12572,1436245,j451.268,2.0602583,21.280611,hires_j,231084,t,2459626.78432341
12572,1436062,cwo.384,2.0602583,21.280611,apf,270000000,t,2459622.65243374
12572,1436061,cwo.383,2.0602583,21.280611,apf,270000000,t,2459622.63770074
12572,1435946,cwm.784,2.0602583,21.280611,apf,192000000,t,2459620.66008983
12572,1435945,cwm.783,2.0602583,21.280611,apf,189000000,t,2459620.63842583
12572,1435780,cwh.286,2.0602583,21.280611,apf,222000000,t,2459615.65965204
12572,1435779,cwh.285,2.0602583,21.280611,apf,196000000,t,2459615.63827704
12572,1435700,cwd.400,2.0602583,21.280611,apf,271000000,t,2459611.7497612
12572,1435699,cwd.399,2.0602583,21.280611,apf,271000000,t,2459611.7371122
12572,1435619,cwb.592,2.0602583,21.280611,apf,220000000,t,2459609.73099229
12572,1435618,cwb.591,2.0602583,21.280611,apf,254000000,t,2459609.70994129
12572,1435540,cvz.092,2.0602583,21.280611,apf,272000000,t,2459607.69785037
12572,1435539,cvz.091,2.0602583,21.280611,apf,271000000,t,2459607.68729637
12572,1435455,cvp.289,2.0602583,21.280611,apf,4780000,t,2459597.6566048
12572,1435454,cvp.288,2.0602583,21.280611,apf,21400000,t,2459597.6318968
12572,1435358,cvx.393,2.0602583,21.280611,apf,270000000,t,2459605.68901146
12572,1435357,cvx.392,2.0602583,21.280611,apf,271000000,t,2459605.67784446
12572,1435271,cvv.793,2.0602583,21.280611,apf,270000000,t,2459603.65920255
12572,1435270,cvv.792,2.0602583,21.280611,apf,270000000,t,2459603.64370655
12572,1435154,cvu.587,2.0602583,21.280611,apf,270000000,t,2459602.66961459
12572,1435153,cvu.586,2.0602583,21.280611,apf,245000000,t,2459602.64941959
12572,1435130,cvs.091,2.0602583,21.280611,apf,270000000,t,2459600.62958567
12572,1435129,cvs.090,2.0602583,21.280611,apf,270000000,t,2459600.61029368
12572,1434985,j448.86,2.0602583,21.280611,hires_j,250304,t,2459595.80531884
12572,1434859,cvl.080,2.0602583,21.280611,apf,65400000,t,2459593.72484997
12572,1434858,cvl.079,2.0602583,21.280611,apf,121000000,t,2459593.70393797
12572,1434151,cul.599,2.0602583,21.280611,apf,338000000,t,2459567.7017371
12572,1434048,j443.75,2.0602583,21.280611,hires_j,250776,t,2459565.88113772
12572,1433952,cud.499,2.0602583,21.280611,apf,308000000,t,2459559.66215346
12572,1433834,ctw.703,2.0602583,21.280611,apf,267000000,t,2459552.77391376
12572,1433718,ctu.100,2.0602583,21.280611,apf,375000000,t,2459550.73094186
12572,1433650,cts.396,2.0602583,21.280611,apf,297000000,t,2459548.71359895
12572,1433588,j442.1380,2.0602583,21.280611,hires_j,250568,t,2459546.7318617
12572,1433494,ctq.599,2.0602583,21.280611,apf,277000000,t,2459546.70990604
12572,1433443,j442.1199,2.0602583,21.280611,hires_j,250292,t,2459545.88119804
12572,1433071,ctn.615,2.0602583,21.280611,apf,253000000,t,2459543.87374716
12572,1433006,j442.491,2.0602583,21.280611,hires_j,250244,t,2459542.87175576
12572,1432858,ctl.113,2.0602583,21.280611,apf,267000000,t,2459541.89976025
12572,1432716,ctj.504,2.0602583,21.280611,apf,180000000,t,2459539.87896435
12572,1432641,j441.280,2.0602583,21.280611,hires_j,250636,t,2459537.89426036
12572,1432482,ctd.710,2.0602583,21.280611,apf,308000000,t,2459533.82903662
12572,1432396,ctb.110,2.0602583,21.280611,apf,332000000,t,2459531.82021571
12572,1432245,csz.524,2.0602583,21.280611,apf,279000000,t,2459529.8099418
12572,1432184,csw.109,2.0602583,21.280611,apf,408000000,t,2459526.83010694
12572,1432077,cst.327,2.0602583,21.280611,apf,274000000,t,2459523.80236508
12572,1431926,csn.818,2.0602583,21.280611,apf,265000000,t,2459517.78155536
12572,1431870,j439.88,2.0602583,21.280611,hires_j,250596,t,2459516.88599072
12572,1431713,j438.89,2.0602583,21.280611,hires_j,250032,t,2459513.8961253
12572,1431664,j437.77,2.0602583,21.280611,hires_j,250224,t,2459512.03737583
12572,1431435,csa.513,2.0602583,21.280611,apf,250000000,t,2459504.94406496
12572,1431289,cry.107,2.0602583,21.280611,apf,396000000,t,2459502.93295905
12572,1431238,crw.604,2.0602583,21.280611,apf,299000000,t,2459500.91505115
