star_id,observation_id,instrument,ra_new,dec_new,vmag_new,counts,teff,vsini,logrhk,sval,bjd
75732,acf.239,apf,8.8766142,28.330819,nan,430000000,5360.08718636,0.611353036571,NaN,0.158258405912,2456662.93188078
75732,acf.240,apf,8.8766142,28.330819,nan,430000000,5360.08718636,0.611353036571,NaN,0.170138582012,2456662.93429978
75732,acf.241,apf,8.8766142,28.330819,nan,430000000,5360.08718636,0.611353036571,NaN,0.169203770922,2456662.93670778
75732,acf.242,apf,8.8766142,28.330819,nan,432000000,5360.08718636,0.611353036571,NaN,0.153378731656,2456662.93919578
75732,acf.243,apf,8.8766142,28.330819,nan,431000000,5360.08718636,0.611353036571,NaN,0.162454569458,2456662.94173078
75732,acf.244,apf,8.8766142,28.330819,nan,431000000,5360.08718636,0.611353036571,NaN,0.156563922442,2456662.94420778
75732,acf.245,apf,8.8766142,28.330819,nan,430000000,5360.08718636,0.611353036571,NaN,0.152261113878,2456662.94666178
219134,acl.166,apf,23.221382,57.168355,5.57000017166138,431000000,4869.63485148,0.482840033422,-5.00003711322755,0.222788562046,2456674.60551445
219134,acl.167,apf,23.221382,57.168355,5.57000017166138,431000000,4869.63485148,0.482840033422,-4.98969298108189,0.227584803506,2456674.60756345
219134,acl.168,apf,23.221382,57.168355,5.57000017166138,432000000,4869.63485148,0.482840033422,-4.92476035854458,0.260447445071,2456674.60972745
219134,acl.169,apf,23.221382,57.168355,5.57000017166138,433000000,4869.63485148,0.482840033422,-4.97832331319929,0.232990028722,2456674.61174145
219134,acl.170,apf,23.221382,57.168355,5.57000017166138,432000000,4869.63485148,0.482840033422,-4.98770972772289,0.228517497074,2456674.61378945
219134,acl.171,apf,23.221382,57.168355,5.57000017166138,434000000,4869.63485148,0.482840033422,-4.98749465071696,0.228618900717,2456674.61572245
219134,acl.172,apf,23.221382,57.168355,5.57000017166138,431000000,4869.63485148,0.482840033422,-4.95190395752189,0.246110133694,2456674.61755145
97658,aph.190,apf,11.242545,25.710385,7.71400022506714,430000000,5122.49239725,0.696192492452,-4.86560637598257,0.204294903657,2457496.66530883
97658,aph.191,apf,11.242545,25.710385,7.71400022506714,431000000,5122.49239725,0.696192492452,-4.87723235941036,0.200738801817,2457496.67516983
97658,aph.192,apf,11.242545,25.710385,7.71400022506714,430000000,5122.49239725,0.696192492452,-4.85201619536848,0.208574300409,2457496.68460183
97658,aph.193,apf,11.242545,25.710385,7.71400022506714,431000000,5122.49239725,0.696192492452,-4.89683006613477,0.194955687473,2457496.69410383
97658,aph.194,apf,11.242545,25.710385,7.71400022506714,430000000,5122.49239725,0.696192492452,-4.87979644282718,0.199967242589,2457496.70399883
