star_id,toi,tic,ra,dec,vmag,Rs,smass,Rp,ruwe,evol,period,observation_id,logrhk,sval,vsini,teff,Unnamed: 0
T001691,1691.01,268334473,18.160275,86.860278,10.134,1.0,1.03,3.75,1.23,MS,16.731638,j389.1680,-4.85703375107091,0.1923,1.07950057185e-05,5638.83503164,34
T001694,1694.01,396740648,6.5165806,66.360556,11.4499998092651,0.82,0.84,5.48,1.12,MS,3.77013,j391.516,-4.97220797696166,0.1706,0.408768600399,5063.19757696,35
T001710,1710.01,445805961,6.2855889,76.210833,9.53999996185303,0.98,1.01,5.41,1.01,MS,24.28313,j391.517,-4.83802986472665,0.1917,0.315878340305,5693.62524438,36
237566,1716.01,14336130,7.0055556,56.824167,9.40999984741211,1.24,1.06,2.74,1.01,MS,8.088417,j452.283,-5.12541279840741,0.14,1.47899820154,5814.17825522,8
T001723,1723.01,71431780,7.7864806,68.476667,9.65999984741211,1.09,1.03,3.16,0.92,MS,13.716057,j389.1527,-5.09883131319571,0.1467,0.974300310654,5747.2590983,37
156141,1742.01,219857012,17.155258,71.876667,8.85999965667725,1.16,1.02,2.2,1.0,MS,21.272109,j389.1675,-5.1803420241892,0.1361,1.32518467106,5717.34238485,4
146757,1751.01,287080092,16.232589,63.533333,9.327,1.27,1.15,2.81,0.97,MS,37.473479,j389.1672,-5.28465265174383,0.1262,1.1507475086,5945.37766768,2
T001753,1753.01,289580577,16.831322,61.173333,11.8299999237061,0.96,1.01,2.96,0.88,MS,5.384942,j469.290,-5.06854118600038,0.1545,1.2457392236,5620.16075133,38
T001758,1758.01,367858035,23.649439,75.685,10.789999961853,0.81,0.88,3.8,0.93,MS,20.70427,j389.1703,-5.00360838397338,0.1625,1.18943475025e-07,5138.46117536,39
T001759,1759.01,408636441,21.790111,62.753611,11.93,0.63,0.61,3.23,0.93,MS,37.696127,j383.290,-4.7443583337626,0.9234,3.03848500948,4436.29941978,40
75732,1773.01,332064670,8.8766142,28.330819,5.951,0.96,0.9,1.8,0.99,MS,0.73665,acw.193,-5.05736732202798,0.161645412686,0.611353036571,5360.08718636,10
T001775,1775.01,9348006,10.00767,39.45775,11.6499996185303,0.84,0.9,8.07,1.05,MS,10.240374,j396.345,-4.46936656771747,0.4273,2.60608120698,5349.82734071,41
T001794,1794.01,286916251,13.55983,49.06084,10.3199996948242,1.3,1.02,3.03,0.96,MS,8.7657,j414.90,-5.07697891350677,0.1498,2.66712819696e-07,5642.22188215,42
93963,1797.01,368435330,10.85178,25.64106,9.18000030517578,1.05,1.08,3.21,0.97,MS,3.645428,j376.71,-4.89324801628182,0.1737,2.94778102193,5942.32903698,11
TIC142381532,1823.01,142381532,13.081314,63.753056,10.7299995422363,0.82,0.77,8.14,1.08,MS,38.8,cmu.791,-5.01175229096229,0.232560075239,1.23158194323,4924.28219245,45
T001824,1824.01,142387023,13.18208,61.74485,9.72000026702881,0.82,0.88,2.4,0.99,MS,22.80811,j377.680,-4.75619360933176,0.2596,0.816718670699,5197.56637939,43
T002088,2088.01,441765914,17.42499,75.88228,11.638,0.83,0.8,3.51,0.85,MS,124.729948,j385.1290,-4.75158277647785,0.3208,0.806510941623,5025.20422695,44
