star_id,have_recon,have_jitter,have_template,tot_iodine_hires,tot_iodine_apf,last_obs_hires,last_obs_apf,baseline_hires,baseline_apf,cooked?,vmag,ra_deg,dec_deg,dvdt,curv,u_dvdt,u_curv
T001694,YES,NO,YES,9,0.0,7.726572692394257,inf,261.615304779727,N/A,cookin,11.446,97.7482,66.3607,-0.183,0.0,0.057,0.0
T001710,YES,NO,YES,8,2.0,7.741499432362616,4.73856262722984,233.59508317988366,0.011920999735593796,cookin,9.545,94.2828,76.2108,0.011,0.0,0.018,0.0
T001723,YES,NO,YES,9,1.0,7.732973152305931,3.7388803269714117,354.00055157998577,0.0,cookin,9.664,116.7971,68.4766,0.029,0.0,0.029,0.0
T001753,YES,NO,NO,3,0.0,89.4044149722904,inf,183.24340114975348,N/A,cookin,11.831,252.4698,61.1735,,,,
T001758,YES,NO,YES,7,0.0,128.7103512021713,inf,163.67655248986557,N/A,cookin,10.794,354.743,75.6851,-0.028,0.0,0.029,0.0
T001759,YES,NO,YES,25,0.0,5.430460372008383,inf,326.9986000601202,N/A,cookin,11.93,326.8533,62.7539,0.032,0.0,0.011,0.0
T001775,YES,NO,NO,5,0.0,2.6081092921085656,inf,215.75373684009537,N/A,cookin,11.648,150.1151,39.4578,,,,
T001794,YES,YES,YES,10,0.0,6.594789891969413,inf,325.09761565038934,N/A,cookin,10.32,203.3977,49.0611,-0.008,0.0,0.015,0.0
T001824,YES,NO,YES,19,34.0,7.665708282031119,0.6961200470104814,350.9178940602578,393.07574409013614,cookin,9.721,197.7312,61.7448,-0.035,0.0,0.012,0.0
T002088,YES,NO,YES,9,0.0,6.443300371989608,inf,284.08199142012745,N/A,cookin,11.638,261.3752,75.8823,0.072,0.0,0.034,0.0
TIC142381532,YES,NO,YES,6,45.0,6.606024201959372,0.6695844470523298,287.06408657040447,399.120608469937,cookin,10.728,196.2204,63.7538,-0.02,0.0,0.01,0.0
WASP156,YES,NO,YES,6,0.0,92.74279695237055,inf,197.65858440985903,N/A,cookin,11.559,32.7818,2.418,,,,
