star_id,toi,tic,ra,dec,vmag,Rs,smass,Rp,ruwe,evol,period,logrhk,sval,vsini,teff
146757,1751.01,287080092,243.4888,63.5343,9.327,1.27,1.15,2.81,0.97,MS,37.473479,-5.28465265174383,0.1262,1.1507475086,5945.37766768
T001753,1753.01,289580577,252.4698,61.1735,11.831,0.96,1.01,2.96,0.88,MS,5.384942,-5.141909529432531,0.141,1.2457392236,5620.16075133
T001758,1758.01,367858035,354.74300000000005,75.6851,10.794,0.81,0.88,3.8,0.93,MS,20.70427,-5.00360838397338,0.1625,1.18943475025e-07,5138.46117536
T001759,1759.01,408636441,326.8533,62.7539,11.93,0.63,0.61,3.23,0.93,MS,37.696127,-4.7443583337626,0.9234,3.03848500948,4436.29941978
T001772,1772.01,85293053,156.8379,34.391,9.955,1.0,0.99,2.46,0.92,MS,8.05147,-4.97175005272583,0.1669,0.936787799014,5672.7797959
75732,1773.01,332064670,133.1492,28.3308,5.9510000000000005,0.96,0.9,1.8,0.99,MS,0.73665,-5.0573673220279804,0.161645412686,0.611353036571,5360.08718636
T001794,1794.01,286916251,203.3977,49.0611,10.32,1.3,1.02,3.03,0.96,MS,8.7657,-5.14580256046702,0.1403,1.3423849888600001,5663.30539357
93963,1797.01,368435330,162.7771,25.6412,9.182,1.05,1.08,3.21,0.97,MS,3.645428,-4.89324801628182,0.1737,3.9531074023300006,5946.14786082
TIC142381532,1823.01,142381532,196.2204,63.7538,10.728,0.82,0.77,8.14,1.08,MS,194.05,-5.01330257651151,0.2318,0.8551170128129999,4889.02356727
T001824,1824.01,142387023,197.7312,61.7448,9.721,0.82,0.88,2.4,0.99,MS,22.80811,-4.75619360933176,0.2596,0.8167186706990001,5197.56637939
T002088,2088.01,441765914,261.3752,75.8823,11.638,0.83,0.8,3.51,0.85,MS,124.729948,-4.751582776477849,0.3208,0.8065109416230001,5025.20422695
