"Name","toi","vmag","ra","dec","teff","vsini","svalue","logrhk","mass","radius","last_observed","last_observed_apf","last_observed_hires_j","have_template_hires_j","have_template_apf","tic","ruwe","evol","toi_cand","per","rp","in_tks_drop","in_tks_sc2a"
"237566","1716","9.41","7.0055556","56.824167","5837","2.31440257019","0.1179","-5.4302585835578","1.04286725339","1.092","55","null","55","0","null","14336130","1","MS","1716.01","8.08842","3","0","1"
"238876","1664","9.65","18.462525","55.755556","5986","5.40418161659","0.133","-5.20391998402323","1.21786624777","1.622","149","null","149","0","null","353782445","1","MS","1664.01","11.83441","2.7","0","0"
"332231","1456","8.56","20.449408","33.744167","6079.5","5.318824248455","0.12925","-5.23775788055758","1.12567586364","1.146","1","1","59","1","1","199376584","0.89","MS","1456.01","12.15601","8.36","0","0"
"347039","1263","9.36","20.623575","22.654167","5052","null","0.2902","-4.72488567279296","null","0.842","12","null","12","1","null","406672232","null","null","null","null","null","0","1"
"GJ9522A","1411","11.11","15.529736","47.055278","4182.5","3.20082428527","0.68735","-4.73566198762263","0.649570136932","0.661","10","null","10","1","null","116483514","1","MS","1411.01","1.45205","1.5","0","1"
"HIP65469","1807","9.675","13.41884","38.92237","4717","4.32520457802","0.6371","-4.49656817329149","0.734647513295","0.7325","15","23","15","1","1","180695581","1.05","MS","1807.01","0.54934","1.55","0","0"
"HIP70705","1416","9.91","14.461622","41.953667","4964","0.518220048781","0.2047","-4.97796664778514","0.830850714282","0.786","10","19","10","1","1","158025009","1.12","MS","1416.01","1.06961","1.88","0","1"
"HIP97166","1255","9.92","19.749611","74.062667","5151.5","0.870976678671474","0.18125","-5.01110394061835","0.905458496207","0.8785","1","1","10","1","1","237222864","1.1","MS","1255.01","10.28888","2.76","0","1"
"HTR155-001","1144","9.654","19.847261","48.080307","4604","2.32420583364","0.598","-4.58578281108624","0.8285992661395","0.7545","278","null","278","1","null","28230919","1","MS","1144.01","4.887823","5.4","0","0"
"K00244","1237","10.7","19.109222","39.487888","6181","9.28142922641","0.131","-5.20672634420921","1.140883383555","1.444","330","null","330","1","null","120960812","1","MS","1237.01","12.726356","5.6","0","0"
