star_id,runname,dvdt,curv,u_dvdt,u_curv
191939,191939_4P_circ_trend,nan,nan,nan,nan
191939,191939_4P_circ_trend,nan,nan,nan,nan
191939,191939_4P_circ_trend,nan,nan,nan,nan
191939,191939_4P_circ_trend,nan,nan,nan,nan
191939,191939_4P_circ_trend,nan,nan,nan,nan
191939,191939_4P_circ_trend,0.0966,0.0,0.0025,0.0
191939,191939_4P_circ,nan,nan,nan,nan
191939,191939_4P_circ,nan,nan,nan,nan
191939,191939_4P_circ,nan,nan,nan,nan
191939,191939_4P_circ,nan,nan,nan,nan
191939,191939_4P_circ,nan,nan,nan,nan
191939,191939_4P_circ,nan,nan,nan,nan
191939,191939_4P_circ,0.0,0.0,0.0,0.0
207897,1pl_ecc,nan,nan,nan,nan
207897,1pl_ecc,nan,nan,nan,nan
207897,1pl_ecc,nan,nan,nan,nan
207897,1pl_ecc,-0.00074,0.0,0.00039,0.0
207897,default_cps,nan,nan,nan,nan
207897,default_cps,nan,nan,nan,nan
207897,default_cps,nan,nan,nan,nan
207897,default_cps,nan,nan,nan,nan
207897,default_cps,-0.00085,0.0,0.00035,0.0
207897,default,nan,nan,nan,nan
207897,default,nan,nan,nan,nan
207897,default,nan,nan,nan,nan
207897,default,nan,nan,nan,nan
207897,default,-0.00084,0.0,0.00035,0.0
237566,default_cps,nan,nan,nan,nan
237566,default_cps,nan,nan,nan,nan
237566,default_cps,-0.004,0.0,0.014,0.0
237566,default,nan,nan,nan,nan
237566,default,nan,nan,nan,nan
237566,default,-0.004,0.0,0.014,0.0
63935,3pl_circ_w_HARPS-N,nan,nan,nan,nan
63935,3pl_circ_w_HARPS-N,nan,nan,nan,nan
63935,3pl_circ_w_HARPS-N,nan,nan,nan,nan
63935,3pl_circ_w_HARPS-N,nan,nan,nan,nan
63935,3pl_circ_w_HARPS-N,nan,nan,nan,nan
63935,3pl_circ_w_HARPS-N,nan,nan,nan,nan
63935,3pl_circ_w_HARPS-N,0.0,0.0,0.0,0.0
63935,3pl_circ,nan,nan,nan,nan
63935,3pl_circ,nan,nan,nan,nan
63935,3pl_circ,nan,nan,nan,nan
63935,3pl_circ,nan,nan,nan,nan
63935,3pl_circ,nan,nan,nan,nan
63935,3pl_circ,0.0,0.0,0.0,0.0
63935,1pl_ecc,nan,nan,nan,nan
63935,1pl_ecc,nan,nan,nan,nan
63935,1pl_ecc,nan,nan,nan,nan
63935,1pl_ecc,0.0056,0.0,0.0035,0.0
63935,2pl_ecc,nan,nan,nan,nan
63935,2pl_ecc,nan,nan,nan,nan
63935,2pl_ecc,nan,nan,nan,nan
63935,2pl_ecc,nan,nan,nan,nan
63935,2pl_ecc,0.0,0.0,0.0,0.0
63935,2pl_circ,nan,nan,nan,nan
63935,2pl_circ,nan,nan,nan,nan
63935,2pl_circ,nan,nan,nan,nan
63935,2pl_circ,nan,nan,nan,nan
63935,2pl_circ,0.0,0.0,0.0,0.0
63935,default_correct_per,nan,nan,nan,nan
63935,default_correct_per,nan,nan,nan,nan
63935,default_correct_per,nan,nan,nan,nan
63935,default_correct_per,0.0,0.0,0.0,0.0
63935,default_cps,nan,nan,nan,nan
63935,default_cps,nan,nan,nan,nan
63935,default_cps,nan,nan,nan,nan
