cps,MES,toi,tic,ra,dec,Vmag,Rs,smass,Rp,ruwe,evol,period
T001775,29.1,1775.01,9348006,150.1151,39.4578,11.648,0.84,0.9,8.07,1.05,MS,10.240374
T001794,14.3,1794.01,286916251,203.3977,49.0611,10.32,1.3,1.02,3.03,0.96,MS,8.7657
93963,14.6,1797.01,368435330,162.7771,25.6412,9.182,1.05,1.08,3.21,0.97,MS,3.645428
HIP65469,12.5,1807.01,180695581,201.2833,38.9225,10.0,0.74,0.73,1.53,1.05,MS,0.549343
TIC142381532,81.3,1823.01,142381532,196.2204,63.7538,10.728,0.82,0.77,8.14,1.08,MS,194.05
T001824,13.2,1824.01,142387023,197.7312,61.7448,9.721,0.82,0.88,2.4,0.99,MS,22.80811
134319,14.1,1860.01,202426247,226.4579,64.0472,8.4,0.93,1.01,1.42,1.0,MS,1.066211
HIP74981,14.2,2018.01,357501308,229.8381,29.2062,10.25,0.62,0.66,2.61,0.97,MS,7.4371149999999995
149026,152.4,2024.01,255930614,247.6234,38.3473,8.15,1.46,1.14,8.53,0.96,MS,2.87577
T002076,14.9,2076.01,27491137,217.3927,39.7904,9.139,0.77,0.87,2.89,1.0,MS,10.355753
T002088,13.9,2088.01,441765914,261.3752,75.8823,11.638,0.83,0.8,3.51,0.85,MS,124.729948
