,tic,toi,cps,ra,dec,vmag,smass,sradius,evol,ruwe,rp,period
1193,103633434,1235.01,T001235,152.2159,69.2765,11.495,0.61,0.63,MS,,1.73,3.4447
1194,120757718,1236.01,TRES1,286.041,36.6326,11.424000000000001,0.9,0.86,MS,,12.76,3.03
1195,120960812,1237.01,K00244,286.6384,39.4879,10.769,1.2,1.48,MS,1.0,5.26,12.7264
1196,153951307,1238.01,T001238,201.3824,68.8363,12.796,0.61,0.62,MS,1.03,2.29,3.2937
1198,154716798,1239.01,T001239,158.0124,84.0304,11.628,0.89,0.79,MS,0.78,4.45,12.6396
1201,198212955,1242.01,T001242,248.5533,60.1961,12.777000000000001,0.67,0.71,MS,0.98,1.68,0.3815
1203,219850915,1244.01,T001244,256.2803,69.5194,11.929,0.73,0.72,MS,,2.53,6.4001
1205,230127302,1246.01,T001246,251.1165,70.4296,11.632,0.87,0.88,MS,0.93,3.31,18.6603
1209,232540264,1247.01,135694,227.8705,71.841,9.08,1.02,1.08,MS,,2.54,15.9235
1210,232612416,1248.01,T001248,259.0236,63.106,11.806,0.89,0.87,MS,0.97,6.75,4.3601
1211,232976128,1249.01,T001249,200.5617,66.3087,11.089,0.95,1.0,MS,,3.15,13.0783
1212,233059608,1250.01,T001250,269.8072,64.1425,7.31,1.38,1.58,MS,0.9,3.83,1.4415
1214,233211762,1252.01,T001252,266.6862,70.7844,13.501,0.67,0.62,MS,4.82,5.38,1.1219
1215,233684822,1253.01,T001253,260.9032,64.8622,10.668,1.0,1.45,SG,0.95,4.54,4.6756
1216,236714379,1254.01,T001254,239.2016,65.889,11.645999999999999,0.95,1.09,MS,,9.24,1.018
1217,237222864,1255.01,HIP97166,296.2443,74.0627,9.92,0.86,0.87,MS,,2.55,10.2889
1220,288132261,1258.01,T001258,209.4851,79.5832,9.634,1.16,1.49,MS,1.05,4.35,10.2613
1221,288735205,1259.01,T001259,282.1003,79.256,12.079,0.75,0.77,MS,0.99,12.34,3.478
1222,355867695,1260.01,T001260E,157.1459,65.8546,11.922,0.66,0.69,MS,,2.4,3.1272
1224,356311210,1261.01,T001261,268.0161,53.7306,11.207,1.07,1.01,MS,,3.42,18.0591
1226,406672232,1263.01,347039,309.3534,22.6546,9.357999999999999,0.86,0.82,MS,1.01,1.43,1.0213
1227,416195870,1264.01,T001264B,287.242,57.3442,11.470999999999998,0.84,0.97,MS,4.21,7.8,2.7442
1229,467179528,1266.01,T001266,197.9982,65.8338,12.940999999999999,0.43,0.44,MS,,2.41,10.8954
1231,158561566,1267.01,T001267,287.7088,47.3331,12.003,,2.0,MS,,9.54,6.7901
1232,142394656,1268.01,T001268,198.3892,62.3054,10.92,0.87,0.9,MS,0.95,9.35,8.1576
1233,198241702,1269.01,T001269,249.6971,64.5587,11.618,0.97,0.85,MS,0.79,2.38,4.2529
1236,286923464,1271.01,118203,203.5106,53.7285,8.05,1.05,2.05,SG,,12.88,6.1349
1237,417948359,1272.01,T001272,199.1966,49.861,11.758,0.82,0.81,MS,0.92,4.29,3.316
1238,445859771,1273.01,T001273,214.1206,58.3904,10.98,1.01,1.07,MS,0.95,17.31,4.6312
1239,459969957,1274.01,T001274,254.8169,65.7471,12.784,0.75,0.8,MS,1.0,9.15,19.3203
1242,153949511,1277.01,T001277,172.7484,66.7966,10.366,0.98,0.86,MS,0.95,3.23,
1245,224297258,1279.01,T001279,185.0639,56.2011,10.714,0.96,0.84,MS,,2.58,9.6155
1246,230017324,1280.01,T001280E,291.4651,61.7763,11.583,0.74,0.75,MS,1.69,3.19,9.6927
1248,236445129,1282.01,KELT-16,314.2685,31.661,11.717,1.3,1.41,MS,,16.74,0.969
1249,266593143,1283.01,HTR248-002,324.5364,30.4887,10.375,0.92,0.84,MS,0.95,11.21,10.3379
1253,352764091,1287.01,196603,308.7473,63.4753,9.16,1.07,1.21,MS,,2.52,9.5973
1254,365733349,1288.01,T001288,313.1666,65.6091,10.445,1.18,0.92,MS,1.06,4.72,2.6998
1256,417676622,1290.01,T001290,291.0324,49.0403,10.077,1.06,1.26,MS,0.94,2.42,5.4006
1257,198186769,1291.01,T001291,245.8181,62.9251,11.515999999999998,1.2,1.81,SG,0.87,4.53,7.16
1259,202504234,1293.01,T001293,230.3099,63.5654,11.647,1.08,1.11,MS,0.91,3.86,1.6849
1260,219015370,1294.01,T001294,223.0929,70.4766,11.314,1.02,1.58,SG,0.94,9.3,3.915
1261,219852584,1295.01,T001295,256.6723,67.8715,11.302999999999999,1.32,1.6,MS,0.95,14.93,3.1969
1262,219854185,1296.01,T001296,256.7709,70.2385,11.37,0.96,1.75,SG,0.94,14.41,3.9443
1264,237104103,1298.01,T001298,241.3234,70.1899,11.889000000000001,1.02,1.49,SG,,9.78,4.5372
1267,356867115,1301.01,T001301,275.8631,71.5814,11.337,0.77,0.73,MS,,2.49,6.0963
1270,186000935,1304.01,192279,303.0732,44.4962,10.280999999999999,1.1,1.18,MS,0.95,5.61,8.8763
1272,233735068,1306.01,T001306,277.4769,61.0495,10.689,,3.07,SG,,21.48,7.6867
1278,405904232,1312.01,T001312,301.5626,52.1641,10.591,1.26,1.86,MS,1.06,13.04,11.0765
1280,136848581,1314.01,T001314,317.7479,43.552,10.75,,2.72,SG,,7.79,2.64
1282,15565627,1316.01,T001316,307.0167,39.8772,10.73,1.36,2.35,MS,0.95,8.57,3.8051
1294,330332501,1328.01,T001328,315.1104,46.0605,10.872,1.37,2.07,MS,0.89,6.47,4.0168
1295,345996087,1329.01,T001329,327.4801,44.0801,10.549000000000001,1.74,1.77,MS,,7.36,2.0198
1305,269701147,1339.01,191939,302.024,66.8506,8.97,0.95,0.92,MS,,3.23,8.8803
1314,219852882,1346.01,T001346,256.6229,68.8429,11.693,0.82,0.78,MS,0.83,2.28,5.5025
1316,229747848,1347.01,T001347,280.3268,70.2899,11.168,0.94,0.85,MS,,1.88,0.8474
1333,230017325,1363.01,T001363,291.4692,61.7761,11.036,1.11,3.51,SG,,11.89,9.6926
1337,129539786,1367.01,T001367,343.9539,39.6452,9.713,1.35,1.7,MS,0.95,5.02,2.0884
1356,343019899,1386.01,T001386,334.5037,54.319,10.61,1.03,1.03,MS,,6.55,
1358,346338552,1388.01,HTR205-23,344.4452,38.6751,9.827,1.13,1.18,MS,,15.29,4.4649
1361,389182138,1391.01,T001391,343.6358,54.1618,11.140999999999998,0.9,0.79,MS,,2.55,2.7269
1365,468472950,1395.01,T001395,321.2832,40.8879,10.637,1.24,1.69,MS,,3.42,0.9874
1370,258801269,1400.01,T001400,287.025,66.2908,11.55,1.11,1.62,MS,,11.84,5.4892
1379,115771549,1409.01,T001409,339.816,33.8895,8.87,,,SG,9.95,6.0,4.7182
1380,199444169,1410.01,T001410,334.8832,42.5603,11.110999999999999,0.71,0.78,MS,,2.94,1.2168
