star_id,day,instrument,0
135694,2020-07-27,hires_j,1
135694,2020-08-16,hires_j,1
135694,2020-08-26,hires_j,1
135694,2020-08-30,hires_j,1
135694,2020-09-07,hires_j,1
135694,2020-09-22,hires_j,1
135694,2020-09-23,hires_j,1
135694,2020-09-28,hires_j,1
135694,2020-09-29,hires_j,1
135694,2020-09-30,hires_j,1
135694,2020-10-01,hires_j,1
135694,2021-02-26,hires_j,1
135694,2021-03-23,hires_j,1
135694,2021-05-19,hires_j,1
135694,2021-05-22,apf,1
135694,2021-05-27,hires_j,1
135694,2021-05-29,apf,1
135694,2021-06-02,hires_j,1
135694,2021-06-03,apf,1
135694,2021-06-03,hires_j,1
135694,2021-06-11,hires_j,2
135694,2021-06-13,hires_j,1
135694,2021-06-14,apf,1
135694,2021-06-16,hires_j,1
135694,2021-06-18,hires_j,1
135694,2021-06-19,hires_j,1
135694,2021-06-20,apf,1
135694,2021-06-20,hires_j,1
135694,2021-06-21,hires_j,1
135694,2021-06-25,apf,1
135694,2021-07-02,apf,1
135694,2021-07-04,hires_j,1
135694,2021-07-09,hires_j,1
135694,2021-07-10,apf,1
135694,2021-07-10,hires_j,1
135694,2021-07-13,hires_j,1
135694,2021-07-16,apf,1
135694,2021-07-19,hires_j,1
135694,2021-07-20,hires_j,1
135694,2021-07-21,apf,1
146757,2020-04-28,apf,3
146757,2020-06-28,hires_j,1
146757,2020-07-16,hires_j,1
146757,2020-08-06,hires_j,1
146757,2020-08-27,hires_j,1
146757,2020-08-31,hires_j,1
146757,2020-09-25,hires_j,1
146757,2020-09-28,hires_j,1
146757,2020-09-30,hires_j,1
146757,2020-10-31,hires_j,1
146757,2021-02-22,hires_j,1
146757,2021-03-23,hires_j,1
146757,2021-03-26,hires_j,1
146757,2021-03-28,apf,1
146757,2021-04-10,apf,1
146757,2021-04-15,apf,1
146757,2021-04-18,apf,1
146757,2021-04-24,apf,1
146757,2021-04-28,apf,1
146757,2021-05-02,apf,1
146757,2021-05-07,apf,1
146757,2021-05-11,apf,1
146757,2021-05-24,hires_j,1
146757,2021-06-02,hires_j,1
146757,2021-06-03,hires_j,1
146757,2021-06-11,hires_j,1
146757,2021-06-14,hires_j,1
146757,2021-06-16,hires_j,1
146757,2021-06-19,hires_j,1
146757,2021-06-20,hires_j,1
146757,2021-06-22,hires_j,1
146757,2021-06-23,hires_j,1
146757,2021-06-30,hires_j,1
146757,2021-07-04,hires_j,1
146757,2021-07-09,apf,1
146757,2021-07-09,hires_j,1
146757,2021-07-12,hires_j,1
146757,2021-07-16,hires_j,1
146757,2021-07-17,hires_j,1
146757,2021-07-18,apf,1
146757,2021-07-19,hires_j,1
146757,2021-07-24,apf,1
146757,2021-07-25,hires_j,1
154840,2019-12-13,apf,2
154840,2020-01-03,apf,1
154840,2020-01-27,apf,2
154840,2020-02-02,apf,1
154840,2020-02-04,apf,1
154840,2020-02-05,apf,1
154840,2020-02-06,apf,1
154840,2020-02-07,apf,1
154840,2020-02-08,apf,1
154840,2020-02-09,apf,1
154840,2020-02-12,apf,1
154840,2020-02-13,apf,1
154840,2020-02-14,apf,1
154840,2020-02-15,apf,1
154840,2020-02-16,apf,1
154840,2020-02-17,apf,1
154840,2020-02-19,apf,1
154840,2020-02-20,apf,1
154840,2020-02-21,apf,1
154840,2020-02-23,apf,1
154840,2020-02-24,apf,1
154840,2020-02-27,apf,1
154840,2020-03-06,apf,1
154840,2020-03-08,hires_j,1
154840,2020-03-09,hires_j,1
154840,2020-03-12,apf,1
154840,2020-03-13,apf,1
154840,2020-04-22,apf,1
154840,2020-04-25,apf,1
154840,2020-04-26,apf,1
154840,2020-04-27,apf,1
154840,2020-04-30,apf,1
154840,2020-05-01,apf,1
154840,2020-05-02,apf,1
154840,2020-05-04,apf,1
154840,2020-05-05,apf,1
154840,2020-05-07,apf,1
154840,2020-05-08,apf,1
154840,2020-05-10,apf,1
154840,2020-05-27,apf,1
154840,2020-05-30,hires_j,1
154840,2020-06-02,hires_j,1
154840,2020-06-03,apf,1
154840,2020-06-03,hires_j,1
154840,2020-06-06,hires_j,1
154840,2020-06-07,hires_j,1
154840,2020-06-09,apf,1
154840,2020-06-10,apf,1
154840,2020-06-10,hires_j,1
154840,2020-06-11,apf,1
154840,2020-06-11,hires_j,1
154840,2020-06-12,hires_j,1
154840,2020-06-13,hires_j,1
154840,2020-06-16,apf,1
154840,2020-06-16,hires_j,1
154840,2020-06-18,apf,1
